
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),
1.132042,0.0312,0.2965,0.7630,0.1158,-0.2472,0.4511,0.0246,-0.0927,0.1016,935.8158,22.1900,-24.7262,-5.4562,32.6287,226.3367,-21.4149,0.0047,93.5870,0.00000000,0.00000000,0.00000000,
1.132667,0.0312,0.2965,0.7630,0.2711,-0.6702,-1.6574,0.0246,-0.0927,0.1016,935.8158,22.1900,-24.7262,-5.4562,32.6287,226.3367,-21.4149,0.0047,93.5870,0.00000000,0.00000000,0.00000000,
1.133175,0.0312,0.2965,0.7630,0.2711,-0.6702,-1.6574,0.0246,-0.0927,0.1016,935.8158,22.1900,-24.7262,-5.4562,32.6287,226.2535,-21.3768,0.2015,93.5870,0.00000000,0.00000000,0.00000000,
1.135720,0.0312,0.2965,0.7630,0.2711,-0.6702,-1.6574,0.0246,-0.0927,0.1016,935.8387,22.1900,-24.7262,-5.4562,32.6287,226.2535,-21.3768,0.2015,93.5870,0.00000000,0.00000000,0.00000000,
1.151861,0.0312,0.2965,0.7630,0.2711,-0.6702,-1.6574,-0.0321,0.0771,-0.0000,935.8387,22.1900,-24.7262,-5.4562,32.6287,226.2535,-21.3768,0.2015,93.5870,0.00000000,0.00000000,0.00000000,
1.199070,-0.0399,0.4107,1.1123,0.2711,-0.6702,-1.6574,-0.0321,0.0771,-0.0000,935.8387,22.1900,-24.7262,-5.4562,32.6287,226.2535,-21.3768,0.2015,93.5870,0.00000000,0.00000000,0.00000000,
1.199735,-0.0399,0.4107,1.1123,-0.3032,0.5069,1.7435,-0.0321,0.0771,-0.0000,935.8387,22.1900,-24.7262,-5.4562,32.6287,226.2535,-21.3768,0.2015,93.5870,0.00000000,0.00000000,0.00000000,
1.200276,-0.0399,0.4107,1.1123,-0.3032,0.5069,1.7435,-0.0321,0.0771,-0.0000,935.8387,22.1900,-24.7262,-5.4562,32.6287,225.7166,-21.0183,-0.5099,93.5870,0.00000000,0.00000000,0.00000000,
1.202248,-0.0399,0.4107,1.1123,-0.3032,0.5069,1.7435,-0.0321,0.0771,-0.0000,935.8387,22.3637,-24.4338,-5.4612,32.6287,225.7166,-21.0183,-0.5099,93.5870,0.00000000,0.00000000,0.00000000,
1.216232,-0.0399,0.4107,1.1123,-0.3032,0.5069,1.7435,-0.0321,0.0771,-0.0000,935.7899,22.3637,-24.4338,-5.4612,32.6287,225.7166,-21.0183,-0.5099,93.5870,0.00000000,0.00000000,0.00000000,
1.217884,-0.0399,0.4107,1.1123,-0.3032,0.5069,1.7435,-0.0773,0.0428,0.1515,935.7899,22.3637,-24.4338,-5.4612,32.6287,225.7166,-21.0183,-0.5099,93.5870,0.00000000,0.00000000,0.00000000,
1.255818,-0.0399,0.4107,1.1123,-0.3032,0.5069,1.7435,-0.0773,0.0428,0.1515,935.8322,22.3637,-24.4338,-5.4612,32.6287,225.7166,-21.0183,-0.5099,93.5870,0.00000000,0.00000000,0.00000000,
1.263556,-0.0399,0.4107,1.1123,-0.3032,0.5069,1.7435,-0.0773,0.0428,0.1515,935.8322,22.4412,-24.2450,-5.5700,32.6287,225.7166,-21.0183,-0.5099,93.5870,0.00000000,0.00000000,0.00000000,
1.266138,0.0786,0.2487,0.8654,-0.3032,0.5069,1.7435,-0.0773,0.0428,0.1515,935.8322,22.4412,-24.2450,-5.5700,32.6287,225.7166,-21.0183,-0.5099,93.5870,0.00000000,0.00000000,0.00000000,
1.266737,0.0786,0.2487,0.8654,0.6594,-1.1138,-0.6631,-0.0773,0.0428,0.1515,935.8322,22.4412,-24.2450,-5.5700,32.6287,225.7166,-21.0183,-0.5099,93.5870,0.00000000,0.00000000,0.00000000,
1.267235,0.0786,0.2487,0.8654,0.6594,-1.1138,-0.6631,-0.0773,0.0428,0.1515,935.8322,22.4412,-24.2450,-5.5700,32.6287,225.5969,-21.2266,0.6495,93.5870,0.00000000,0.00000000,0.00000000,
1.286306,0.0786,0.2487,0.8654,0.6594,-1.1138,-0.6631,0.0858,-0.1208,0.0064,935.8322,22.4412,-24.2450,-5.5700,32.6287,225.5969,-21.2266,0.6495,93.5870,0.00000000,0.00000000,0.00000000,
1.322626,0.0786,0.2487,0.8654,0.6594,-1.1138,-0.6631,0.0858,-0.1208,0.0064,935.8322,22.0025,-24.7375,-5.6937,32.6287,225.5969,-21.2266,0.6495,93.5870,0.00000000,0.00000000,0.00000000,
1.334457,-0.0151,0.4181,0.9822,0.6594,-1.1138,-0.6631,0.0858,-0.1208,0.0064,935.8322,22.0025,-24.7375,-5.6937,32.6287,225.5969,-21.2266,0.6495,93.5870,0.00000000,0.00000000,0.00000000,
1.336276,-0.0151,0.4181,0.9822,-0.0324,0.5529,0.4788,0.0858,-0.1208,0.0064,935.8322,22.0025,-24.7375,-5.6937,32.6287,225.5969,-21.2266,0.6495,93.5870,0.00000000,0.00000000,0.00000000,
1.337285,-0.0151,0.4181,0.9822,-0.0324,0.5529,0.4788,0.0858,-0.1208,0.0064,935.8322,22.0025,-24.7375,-5.6937,32.6287,225.0158,-21.1860,-0.6768,93.5870,0.00000000,0.00000000,0.00000000,
1.338011,-0.0151,0.4181,0.9822,-0.0324,0.5529,0.4788,0.0858,-0.1208,0.0064,935.8092,22.0025,-24.7375,-5.6937,32.6287,225.0158,-21.1860,-0.6768,93.5870,0.00000000,0.00000000,0.00000000,
1.353190,-0.0151,0.4181,0.9822,-0.0324,0.5529,0.4788,-0.0677,0.3137,0.1177,935.8092,22.0025,-24.7375,-5.6937,32.6287,225.0158,-21.1860,-0.6768,93.5870,0.00000000,0.00000000,0.00000000,
1.402055,-0.0151,0.4181,0.9822,-0.0324,0.5529,0.4788,-0.0677,0.3137,0.1177,935.8092,22.6450,-24.7987,-5.1388,32.6287,225.0158,-21.1860,-0.6768,93.7078,0.00000000,0.00000000,0.00000000,
1.403885,0.0086,0.2676,0.9530,-0.0324,0.5529,0.4788,-0.0677,0.3137,0.1177,935.8092,22.6450,-24.7987,-5.1388,32.6287,225.0158,-21.1860,-0.6768,93.7078,0.00000000,0.00000000,0.00000000,
1.404713,0.0086,0.2676,0.9530,0.0119,-0.9401,0.1995,-0.0677,0.3137,0.1177,935.8092,22.6450,-24.7987,-5.1388,32.6287,225.0158,-21.1860,-0.6768,93.7078,0.00000000,0.00000000,0.00000000,
1.405602,0.0086,0.2676,0.9530,0.0119,-0.9401,0.1995,-0.0677,0.3137,0.1177,935.8092,22.6450,-24.7987,-5.1388,32.6287,224.9133,-21.2944,0.4227,93.7078,0.00000000,0.00000000,0.00000000,
1.416239,0.0086,0.2676,0.9530,0.0119,-0.9401,0.1995,-0.0677,0.3137,0.1177,935.8203,22.6450,-24.7987,-5.1388,32.6287,224.9133,-21.2944,0.4227,93.7078,0.00000000,0.00000000,0.00000000,
1.420483,0.0086,0.2676,0.9530,0.0119,-0.9401,0.1995,0.0753,-0.2518,0.0640,935.8203,22.6450,-24.7987,-5.1388,32.6287,224.9133,-21.2944,0.4227,93.7078,0.00000000,0.00000000,0.00000000,
1.457006,0.0086,0.2676,0.9530,0.0119,-0.9401,0.1995,0.0753,-0.2518,0.0640,935.8462,22.6450,-24.7987,-5.1388,32.6287,224.9133,-21.2944,0.4227,93.7078,0.00000000,0.00000000,0.00000000,
1.462006,0.0086,0.2676,0.9530,0.0119,-0.9401,0.1995,0.0753,-0.2518,0.0640,935.8462,22.3912,-25.3550,-5.3263,32.6287,224.9133,-21.2944,0.4227,93.7078,0.00000000,0.00000000,0.00000000,
1.467951,0.0515,0.2985,0.8301,0.0119,-0.9401,0.1995,0.0753,-0.2518,0.0640,935.8462,22.3912,-25.3550,-5.3263,32.6287,224.9133,-21.2944,0.4227,93.7078,0.00000000,0.00000000,0.00000000,
1.469102,0.0515,0.2985,0.8301,0.5868,-0.6684,-0.9924,0.0753,-0.2518,0.0640,935.8462,22.3912,-25.3550,-5.3263,32.6287,224.9133,-21.2944,0.4227,93.7078,0.00000000,0.00000000,0.00000000,
1.469836,0.0515,0.2985,0.8301,0.5868,-0.6684,-0.9924,0.0753,-0.2518,0.0640,935.8462,22.3912,-25.3550,-5.3263,32.6287,224.5329,-21.4910,-0.4814,93.7078,0.00000000,0.00000000,0.00000000,
1.487680,0.0515,0.2985,0.8301,0.5868,-0.6684,-0.9924,0.0026,0.3919,0.0399,935.8462,22.3912,-25.3550,-5.3263,32.6287,224.5329,-21.4910,-0.4814,93.7078,0.00000000,0.00000000,0.00000000,
1.536197,0.0515,0.2985,0.8301,0.5868,-0.6684,-0.9924,0.0026,0.3919,0.0399,935.8139,22.3912,-25.3550,-5.3263,32.6287,224.5329,-21.4910,-0.4814,93.7078,0.00000000,0.00000000,0.00000000,
